,,grad_accum,,,,,,,,,
Nodes,iter (n-2),1,2,3,4,5,6,7,8,9,10
,6,137.71,219.43,295.86,380.71,460.64,536.27,618.02,696.24,775.75,861.81
,7,139.86,218.49,298.46,375.95,460.81,869.91,618.52,696.23,779.67,855.87
,8,788.88,215.94,300.12,374.04,455.72,534,618.6,695.72,779.26,857.29
TCP N4,1,1013.72,1063.23,1176.94,1309.5,1324.36,1465.24,1472.16,1610.94,1652.92,1736.25
,2,1013.86,1067.16,1469.49,1299,1319.22,1411.08,1464.28,1606.72,1670.8,1739.21
,3,1018.42,1062.54,1189.08,1294.91,1334.03,1432.56,1495.84,1601.94,1652.52,1734.67
,4,1020.22,1085.05,1176.05,1320.34,1324.62,1419.16,1447.85,1601.57,1649.92,2239.97
,5,1005.39,1089.64,1189.74,1303.12,1302.45,1422.79,1487.92,1937.32,1646.59,1717.15
,6,1017.39,1085.1,1200.94,1292.56,1317.74,1434.93,1481.09,1610.01,1646.76,1740.09
,7,1014.98,1077.86,1181.5,1258.42,1303.4,1763.2,1472.5,1595.86,1653.83,1724.92
,8,1329.26,1084.59,1171.9,1350.5,1315.32,1394.33,1475.69,1595.58,1649.28,1738.87
