test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.058518,0.12,0.24,0.48,0.91,1.84,3.68,7.27,14.62,29.35,41.39,42.12,42.24,19.73,45.78,58.03,69.43,76.98,80.2,82.24,83.4,84.07,84.41
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.056976,0.11,0.22,0.46,0.93,1.86,3.55,7.08,14.29,27.61,41.91,42.05,42.24,20.8,47.08,59.67,70.88,76.81,80.29,82.5,83.59,84.13,84.41
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.057543,0.12,0.24,0.48,0.91,1.82,3.65,7.28,15.21,30.17,48.95,52.52,52.33,55.95,74.83,90.98,99.93,104.31,108.52,109.9,110.66,111.22,111.57
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.054902,0.12,0.23,0.45,0.91,1.8,3.57,7.55,15.19,29.7,49.25,52.76,52.74,55.52,75.19,90.89,99.73,105.09,107.72,109.59,110.96,111.34,111.56
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,2,avg,0.05645,0.11,0.22,0.45,0.88,1.84,3.71,7.45,15.02,28.35,41.4,41.94,41.93,20.76,47.92,58.12,68.75,76.34,79.92,82.4,83.63,84.17,84.44
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.059183,0.12,0.24,0.47,0.95,1.96,3.88,7.56,15.06,29.76,40.94,42.01,42.06,20.24,45.73,57.99,68.08,75.22,79.86,82.39,83.6,84.1,84.46
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.056495,0.11,0.23,0.46,0.95,1.91,3.65,7.16,14.62,27.88,49.29,52.74,52.4,56.78,75.09,90.82,99.63,105.62,108.29,109.62,110.89,111.37,111.53
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.058533,0.12,0.24,0.49,0.97,1.94,3.74,7.55,15.08,31.24,49.13,52.74,53.03,57.18,75.09,91.1,99.86,104.49,108.14,109.46,110.93,111.38,111.54
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.059434,0.12,0.24,0.48,0.97,1.94,3.72,7.49,14.97,29.07,40.53,41.95,42.02,20.95,49.4,59.41,70.49,75.68,80.25,82.25,83.65,84.09,84.47
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,3,avg,0.05821,0.12,0.23,0.45,0.92,1.9,3.78,7.59,14.66,29.23,40.86,41.94,42.03,19.81,44.78,58.94,68.6,77.18,80.87,82.52,83.43,84.15,84.39
