test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.069615,0.16,0.32,0.66,1.28,2.61,5.02,10.35,19.87,41.59,79.16,142.31,146.2,168.75,201.82,202.44,202.7,202.78,202.87,202.51,202.93,202.93,202.91
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.079757,0.16,0.33,0.66,1.27,2.64,5.14,10.52,20.45,41.84,82.26,143.88,146.17,168.57,188.55,202.4,202.67,202.82,202.9,202.91,202.93,200.71,202.0
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.077861,0.16,0.32,0.65,1.27,2.6,5.06,10.43,20.3,41.52,81.7,121.13,139.92,162.17,184.77,197.66,197.74,198.04,198.09,198.1,198.13,196.28,198.14
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.079898,0.17,0.33,0.68,1.35,2.71,5.4,10.76,21.56,43.91,82.7,143.76,139.91,163.46,182.78,197.47,197.8,197.49,198.0,198.02,198.02,198.06,198.06
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,2,avg,0.075688,0.16,0.31,0.64,1.28,2.49,5.1,9.96,20.35,39.31,79.58,132.95,140.16,162.1,196.53,197.63,197.9,198.05,198.07,198.09,198.13,198.14,196.4
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.078925,0.16,0.33,0.66,1.31,2.62,5.08,10.31,19.58,40.98,81.37,134.22,140.19,162.68,185.96,197.68,197.89,198.02,198.08,198.08,197.8,198.11,198.13
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.078265,0.16,0.32,0.63,1.28,2.5,5.07,9.67,20.27,39.27,79.23,138.5,138.73,162.14,183.18,197.03,197.26,197.35,196.97,197.46,197.48,197.48,195.93
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.08056,0.17,0.33,0.67,1.36,2.69,5.39,10.45,21.52,42.92,82.4,143.42,139.8,161.56,183.59,197.06,197.23,197.34,197.43,197.46,197.49,197.48,197.48
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.077388,0.16,0.32,0.62,1.29,2.5,5.1,10.0,20.53,39.6,80.31,139.69,140.26,161.84,196.08,196.98,197.2,197.4,197.41,197.14,197.47,197.49,194.13
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,3,3,avg,0.078198,0.16,0.32,0.65,1.3,2.51,5.16,9.82,20.54,40.31,80.91,143.77,139.76,162.83,196.4,196.99,197.17,197.35,197.42,197.23,197.17,197.46,197.48
