test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,2,avg,0.055471,0.11,0.23,0.45,0.9,1.81,3.61,7.25,14.45,28.88,57.35,70.07,120.25,193.18,197.02,196.17,186.27,191.71,194.51,195.93,184.37,163.06,163.12
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,2,peak,0.056162,0.11,0.23,0.45,0.91,1.82,3.62,7.29,14.51,28.98,57.42,83.59,147.75,193.26,197.07,196.18,190.88,191.72,194.51,195.93,184.37,163.06,163.12
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.080317,0.16,0.33,0.66,1.32,2.63,5.26,10.48,20.89,42.01,83.54,163.31,201.66,202.66,202.94,203.04,203.08,203.12,203.15,203.17,189.86,169.88,169.85
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,0,peak,0.080899,0.17,0.33,0.66,1.32,2.65,5.27,10.54,20.94,42.18,83.78,164.57,201.72,202.69,202.97,203.07,203.09,203.12,203.16,203.18,189.86,169.88,169.85
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,2,avg,0.056903,0.12,0.23,0.47,0.93,1.87,3.71,7.43,14.69,29.74,59.34,119.28,196.46,194.84,197.08,197.53,197.52,197.36,197.72,197.54,188.03,163.3,163.05
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,2,peak,0.0576,0.12,0.23,0.47,0.94,1.87,3.72,7.46,14.84,29.83,59.36,119.49,196.61,194.92,197.13,197.53,197.53,197.37,197.72,197.57,188.04,163.3,163.05
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,2,avg,0.05744,0.12,0.23,0.47,0.94,1.87,3.75,7.49,14.96,29.82,59.78,118.3,198.92,202.5,199.15,201.66,199.4,201.24,201.87,200.46,187.93,167.19,167.29
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,2,peak,0.057785,0.12,0.23,0.47,0.94,1.88,3.76,7.53,15.01,30.02,60.04,119.11,199.0,202.55,199.2,201.68,199.42,201.25,201.87,200.8,187.93,167.31,167.49
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.079857,0.17,0.34,0.67,1.33,2.67,5.33,10.68,21.21,42.6,84.81,169.68,207.78,207.99,209.46,209.27,209.48,209.54,209.6,209.61,192.97,171.19,171.24
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,0,peak,0.081818,0.17,0.34,0.67,1.34,2.68,5.36,10.72,21.33,42.77,84.94,169.88,207.98,208.12,209.53,209.31,209.49,209.55,209.6,209.61,192.97,171.19,171.24
