prot,role,srvip,mtu,len,ws,br,par,affin,srvnode,cltnode,t,Bandwidth
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u11,1,226.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u11,2,226.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u11,2,220.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u11,2,220.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u11,2,226.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u12,0,223.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u12,0,223.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u12,0,226.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u12,0,226.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u12,1,226.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u12,1,226.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u12,1,203.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u12,1,203.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u12,2,223.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u12,2,227.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u12,2,223.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u12,2,227.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u15,0,225.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u15,0,227.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,0-127-256-383,mocr4pcc04u05,mocr4pcc04u15,0,227.0
tcp,clt,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u15,0,225.0
tcp,srv,192.168.60.185,9000,128K,0,0,32,128-255-384-511,mocr4pcc04u05,mocr4pcc04u15,1,226.0
