path,server,client,protocol,role,mtu,bufsize,winsize,bitrate,par,affin,bw,units
simple2node-28-04-25-1745851708/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24_mocr4pcc02u25.log,mocr4pcc02u24,mocr4pcc02u25,tcp,clt,1500,128K,128K,0,128,eno7np0,199,Gbits/sec
simple2node-28-04-25-1745851708/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25_mocr4pcc02u24.log,mocr4pcc02u25,mocr4pcc02u24,tcp,clt,1500,128K,128K,0,128,eno7np0,196,Gbits/sec
simple2node-28-04-25-1745851708/iperf_tcp_srv_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24_mocr4pcc02u25.log,mocr4pcc02u24,mocr4pcc02u25,tcp,srv,1500,128K,128K,0,128,eno7np0,199,Gbits/sec
simple2node-28-04-25-1745851708/iperf_tcp_srv_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25_mocr4pcc02u24.log,mocr4pcc02u25,mocr4pcc02u24,tcp,srv,1500,128K,128K,0,128,eno7np0,196,Gbits/sec
simple2node-28-04-25-1745851708/iperf_udp_clt_1500_1460_1460_0_128_eno7np0_mocr4pcc02u24_mocr4pcc02u25.log,mocr4pcc02u24,mocr4pcc02u25,udp,clt,1500,1460,1460,0,128,eno7np0,55.8,Gbits/sec
simple2node-28-04-25-1745851708/iperf_udp_clt_1500_1460_1460_0_128_eno7np0_mocr4pcc02u25_mocr4pcc02u24.log,mocr4pcc02u25,mocr4pcc02u24,udp,clt,1500,1460,1460,0,128,eno7np0,19.3,Gbits/sec
simple2node-28-04-25-1745851708/iperf_udp_srv_1500_1460_1460_0_128_eno7np0_mocr4pcc02u24_mocr4pcc02u25.log,mocr4pcc02u24,mocr4pcc02u25,udp,srv,1500,1460,1460,0,128,eno7np0,36.4,Gbits/sec
simple2node-28-04-25-1745851708/iperf_udp_srv_1500_1460_1460_0_128_eno7np0_mocr4pcc02u25_mocr4pcc02u24.log,mocr4pcc02u25,mocr4pcc02u24,udp,srv,1500,1460,1460,0,128,eno7np0,16.4,Gbits/sec
