path,server,client,protocol,role,srvip,mtu,bufsize,winsize,bitrate,par,affin,bw,units,trial
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_1_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_1.log,1,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,1,eno7np0,12.3,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_1_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_2.log,2,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,1,eno7np0,12.1,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_2_eno6np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_0.log,0,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,2,eno6np0,18.9,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_2_eno6np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_1.log,1,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,2,eno6np0,17.9,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_2_eno6np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_2.log,2,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,2,eno6np0,7.83,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_2_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_0.log,0,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,2,eno7np0,24.7,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_2_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_1.log,1,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,2,eno7np0,24.9,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_2_eno7np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_2.log,2,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,2,eno7np0,25.6,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_32_eno6np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_0.log,0,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,32,eno6np0,153,Gbits/sec
2node-jumbomtu-eno7np0-01-05-25-1746093653/iperf_tcp_clt_192.168.50.157_1500_1024K_0_0_32_eno6np0_mocr4pcc02u24-debug-sdqkd_mocr4pcc02u25-debug-fvmkj_1.log,1,mocr4pcc02u24-debug-sdqkd,mocr4pcc02u25-debug-fvmkj,tcp,clt,192.168.50.157,1500,1024K,0,0,32,eno6np0,146,Gbits/sec
