test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.060322,0.12,0.24,0.49,0.97,1.8,3.69,7.26,14.57,29.33,60.16,122.22,156.51,165.39,166.31,167.7,171.12,171.32,170.2,171.42,171.42,171.42,171.51
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.085395,0.17,0.35,0.71,1.41,2.77,5.58,11.26,22.46,45.02,84.66,137.42,155.95,165.64,168.27,168.63,171.18,170.81,171.19,171.47,171.42,171.37,171.52
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.083675,0.17,0.35,0.69,1.41,2.7,5.52,11.17,21.86,44.67,80.09,116.81,148.68,166.12,167.64,167.4,170.61,171.15,171.27,171.16,171.42,171.46,171.46
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.055198,0.16,0.37,0.69,1.47,2.89,5.84,11.41,23.1,44.36,80.43,133.09,154.5,166.79,168.0,168.84,171.16,170.35,171.05,171.38,171.45,171.48,171.41
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.058931,0.12,0.25,0.48,0.96,1.9,3.89,7.98,15.45,31.67,61.83,120.79,141.85,164.27,167.2,167.38,170.62,171.08,171.24,171.29,171.33,171.29,171.39
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.084676,0.18,0.35,0.71,1.41,2.82,5.08,10.97,22.46,44.32,80.41,132.76,143.96,167.15,167.15,167.37,171.1,170.93,171.3,171.39,171.42,171.48,171.42
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.060149,0.12,0.24,0.48,0.97,1.91,3.88,7.93,15.61,30.51,62.42,121.68,141.46,164.79,167.47,168.46,170.59,170.09,170.95,171.37,171.38,171.39,171.42
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.088527,0.18,0.36,0.74,1.44,2.95,5.11,11.55,22.67,45.92,80.65,133.18,150.22,166.72,168.49,169.0,170.85,170.14,171.21,171.44,171.46,171.47,171.5
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.086289,0.18,0.36,0.71,1.39,2.71,5.69,11.27,22.38,44.83,80.43,127.77,143.77,166.21,168.16,169.43,171.46,171.26,171.27,171.36,171.41,171.47,171.46
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.054727,0.15,0.34,0.71,1.39,2.82,5.62,11.17,22.25,44.56,79.84,132.49,143.02,164.84,168.17,166.19,170.73,170.97,171.04,171.45,171.43,171.5,171.49
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.082093,0.17,0.34,0.67,1.24,2.46,4.86,9.85,21.45,43.28,84.12,165.33,186.48,204.38,207.09,208.56,208.7,208.86,208.97,209.02,209.06,209.0,193.26
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.085913,0.18,0.35,0.71,1.41,2.76,5.64,11.21,22.53,44.91,89.63,174.38,185.68,205.28,207.92,197.04,208.62,208.92,209.06,208.61,208.97,209.08,192.9
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.056202,0.12,0.24,0.48,0.94,1.85,3.81,7.52,14.97,30.43,60.39,119.88,189.4,203.49,207.66,208.09,208.46,208.92,208.97,209.06,209.04,209.03,192.4
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.086506,0.18,0.36,0.71,1.42,2.81,5.57,11.26,22.57,45.05,81.82,161.98,186.91,204.24,207.43,208.16,208.84,208.96,208.98,208.93,209.07,209.11,192.79
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.084397,0.17,0.35,0.68,1.39,2.74,5.61,11.1,22.14,44.15,86.78,167.66,185.93,199.41,201.97,202.17,202.45,202.6,202.67,202.73,202.81,202.81,191.09
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.057646,0.16,0.36,0.73,1.46,2.9,5.85,11.6,23.09,47.29,94.31,174.1,183.35,200.2,201.98,202.19,202.56,202.62,202.75,202.78,202.89,202.77,190.76
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.060364,0.11,0.23,0.46,0.88,1.95,3.94,7.83,15.57,31.56,62.57,124.42,190.45,197.84,201.59,201.6,202.62,202.56,202.71,202.8,202.78,202.77,190.5
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.058715,0.12,0.24,0.48,0.96,1.9,3.8,7.65,15.21,30.37,60.93,120.63,189.49,198.72,200.73,202.36,202.61,202.49,202.63,202.8,202.74,202.87,190.58
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.085691,0.18,0.36,0.71,1.42,2.77,5.5,11.0,22.09,44.07,86.24,170.61,180.05,194.29,195.55,197.24,197.39,197.43,197.47,197.6,197.59,197.61,185.27
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.086976,0.18,0.37,0.74,1.48,2.95,5.91,11.81,23.62,46.72,95.67,167.86,179.82,193.9,196.53,196.71,197.42,197.4,197.48,197.43,197.57,197.62,185.53
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.084284,0.17,0.34,0.7,1.35,2.73,5.49,10.95,21.71,43.58,85.61,168.38,183.0,194.4,196.82,197.1,196.92,197.53,197.57,197.56,197.57,197.56,184.47
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.057484,0.12,0.24,0.49,0.97,1.92,3.89,7.39,15.65,31.11,62.6,125.06,181.6,192.08,196.1,196.49,197.36,197.43,197.36,197.53,197.52,197.61,185.33
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.086524,0.18,0.36,0.64,1.43,2.8,5.68,11.34,22.62,44.42,87.7,165.91,180.94,194.58,196.32,196.33,196.85,196.73,197.19,197.2,197.2,197.2,183.97
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.057344,0.12,0.24,0.49,0.97,1.91,3.94,7.85,15.59,31.22,62.64,132.02,184.1,192.68,195.54,196.3,196.96,197.04,197.19,197.23,197.22,197.21,184.23
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.080505,0.17,0.35,0.7,1.38,2.71,5.45,10.91,22.04,43.61,75.72,155.85,182.49,194.09,195.84,196.65,196.86,197.03,197.03,197.06,197.17,197.23,183.99
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.085777,0.18,0.36,0.71,1.42,2.8,5.54,10.25,22.64,45.12,87.48,161.27,181.78,194.06,196.24,196.08,197.04,197.13,197.15,197.18,197.17,197.19,183.83
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.061064,0.12,0.25,0.5,0.99,1.99,3.91,7.89,15.36,31.56,63.23,126.49,204.73,207.51,208.64,208.92,209.01,209.03,209.05,209.07,209.05,192.42,171.27
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.058607,0.12,0.23,0.47,0.94,1.85,3.94,7.95,15.89,31.87,64.95,133.86,204.56,207.3,208.6,208.84,208.97,209.04,209.08,209.07,209.07,192.26,171.2
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.061716,0.13,0.25,0.5,1.0,1.93,4.02,8.0,15.98,32.02,63.76,127.96,204.17,207.34,208.52,208.87,208.92,209.0,209.07,209.09,209.12,192.31,171.18
