test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.056433,0.12,0.23,0.47,0.92,1.85,3.69,7.37,14.73,29.23,58.13,65.02,81.58,97.34,107.24,112.73,115.28,117.04,118.39,117.27,118.2,118.58,127.39
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.046816,0.12,0.24,0.48,0.96,1.89,4.02,8.2,16.52,29.94,64.98,66.35,77.35,85.64,91.97,95.06,96.31,98.03,110.64,111.59,98.91,98.57,102.22
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.032772,0.066166,0.13,0.27,0.53,1.06,2.1,4.23,8.46,16.93,31.29,46.14,55.42,61.36,65.36,67.37,68.64,68.73,69.2,68.26,74.28,70.61,68.46
ib_read_bw,9000,8,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.032732,0.066047,0.13,0.26,0.53,1.04,2.11,4.19,8.35,15.67,33.31,43.24,53.27,59.08,64.51,67.14,68.68,67.5,69.05,68.47,68.22,69.26,68.19
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.03254,0.066559,0.13,0.27,0.53,1.06,2.08,4.24,8.37,17.52,34.92,70.45,138.86,166.86,166.91,167.28,167.69,167.37,167.67,153.53,147.31,146.92,147.17
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.03338,0.067956,0.14,0.27,0.55,1.09,2.19,4.37,8.75,17.54,35.28,71.31,111.09,111.84,112.15,108.84,108.67,110.71,109.2,111.2,109.01,108.64,108.67
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.032086,0.066254,0.13,0.26,0.53,1.05,2.12,4.19,8.47,16.75,34.2,59.14,67.32,71.14,74.11,75.56,76.16,76.34,76.5,76.47,75.89,76.34,76.43
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.03235,0.065714,0.13,0.27,0.53,1.06,2.11,4.25,8.47,16.76,34.69,59.48,63.74,72.0,74.33,75.48,75.75,76.39,76.23,76.39,76.31,76.52,76.34
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.033764,0.069328,0.16,0.28,0.55,1.11,2.19,4.39,8.79,17.72,35.55,72.8,109.64,109.9,110.05,110.06,110.06,109.85,109.98,109.96,109.99,110.06,110.05
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.033759,0.068075,0.14,0.27,1.04,2.08,4.18,8.34,16.72,18.09,36.87,76.06,108.24,109.11,109.34,109.49,109.52,109.57,109.55,109.5,109.51,109.48,109.51
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.033883,0.069402,0.14,0.28,0.55,2.06,3.94,8.2,8.4,18.22,37.53,70.26,94.06,90.61,95.96,101.82,103.53,104.39,103.47,104.67,104.89,104.75,104.45
ib_read_bw,9000,16,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.039383,0.070301,0.14,0.28,0.55,1.29,2.56,4.46,8.94,17.95,36.85,71.07,86.63,93.55,99.81,100.72,103.05,104.53,104.87,104.36,104.73,104.78,104.12
